unit,suite,category,encoder,threads,seconds,bytes,audio_bytes,raw_bytes,channels,sample_rate
sqam/01,sqam,alignment,vinyl -j1,1,0.212562625,2202979,2202937,17992800,2,44100
sqam/01,sqam,alignment,vinyl -j2,2,0.110876,2202979,2202937,17992800,2,44100
sqam/01,sqam,alignment,vinyl -j4,4,0.059616334,2202979,2202937,17992800,2,44100
sqam/01,sqam,alignment,vinyl -j8,8,0.035049542,2202979,2202937,17992800,2,44100
sqam/01,sqam,alignment,vinyl decode -j1,1,0.136333375,2202979,2202937,17992800,2,44100
sqam/01,sqam,alignment,vinyl decode -j2,2,0.071998708,2202979,2202937,17992800,2,44100
sqam/01,sqam,alignment,vinyl decode -j4,4,0.041022833,2202979,2202937,17992800,2,44100
sqam/01,sqam,alignment,vinyl decode -j8,8,0.026988125,2202979,2202937,17992800,2,44100
sqam/01,sqam,alignment,flac decode -j1,1,0.048302458,2202979,2202937,17992800,2,44100
sqam/01,sqam,alignment,flac -8 -j1,1,0.158675167,1808498,1800014,17992800,2,44100
sqam/01,sqam,alignment,flac -8 -j2,2,0.087247041,1808498,1800014,17992800,2,44100
sqam/01,sqam,alignment,flac -8 -j4,4,0.046508,1808498,1800014,17992800,2,44100
sqam/01,sqam,alignment,flac -8 -j8,8,0.029575042,1808498,1800014,17992800,2,44100
sqam/01,sqam,alignment,flac -5 -j1,1,0.088439875,2083943,2075459,17992800,2,44100
sqam/02,sqam,alignment,vinyl -j1,1,0.197537291,4047743,4047701,8643600,2,44100
sqam/02,sqam,alignment,vinyl -j2,2,0.104071,4047743,4047701,8643600,2,44100
sqam/02,sqam,alignment,vinyl -j4,4,0.055651083,4047743,4047701,8643600,2,44100
sqam/02,sqam,alignment,vinyl -j8,8,0.032316667,4047743,4047701,8643600,2,44100
sqam/02,sqam,alignment,vinyl decode -j1,1,0.129877209,4047743,4047701,8643600,2,44100
sqam/02,sqam,alignment,vinyl decode -j2,2,0.069265292,4047743,4047701,8643600,2,44100
sqam/02,sqam,alignment,vinyl decode -j4,4,0.038268334,4047743,4047701,8643600,2,44100
sqam/02,sqam,alignment,vinyl decode -j8,8,0.024484459,4047743,4047701,8643600,2,44100
sqam/02,sqam,alignment,flac decode -j1,1,0.03296575,4047743,4047701,8643600,2,44100
sqam/02,sqam,alignment,flac -8 -j1,1,0.110850667,3781438,3773062,8643600,2,44100
sqam/02,sqam,alignment,flac -8 -j2,2,0.061145167,3781438,3773062,8643600,2,44100
sqam/02,sqam,alignment,flac -8 -j4,4,0.033705709,3781438,3773062,8643600,2,44100
sqam/02,sqam,alignment,flac -8 -j8,8,0.02118325,3781438,3773062,8643600,2,44100
sqam/02,sqam,alignment,flac -5 -j1,1,0.053738416,3799436,3791060,8643600,2,44100
sqam/03,sqam,artificial,vinyl -j1,1,0.049162958,228057,228015,4762800,2,44100
sqam/03,sqam,artificial,vinyl -j2,2,0.027660208,228057,228015,4762800,2,44100
sqam/03,sqam,artificial,vinyl -j4,4,0.015823084,228057,228015,4762800,2,44100
sqam/03,sqam,artificial,vinyl -j8,8,0.010968208,228057,228015,4762800,2,44100
sqam/03,sqam,artificial,vinyl decode -j1,1,0.0287895,228057,228015,4762800,2,44100
sqam/03,sqam,artificial,vinyl decode -j2,2,0.017018667,228057,228015,4762800,2,44100
sqam/03,sqam,artificial,vinyl decode -j4,4,0.011337,228057,228015,4762800,2,44100
sqam/03,sqam,artificial,vinyl decode -j8,8,0.008979292,228057,228015,4762800,2,44100
sqam/03,sqam,artificial,flac decode -j1,1,0.015342167,228057,228015,4762800,2,44100
sqam/03,sqam,artificial,flac -8 -j1,1,0.038521667,228598,220258,4762800,2,44100
sqam/03,sqam,artificial,flac -8 -j2,2,0.022547083,228598,220258,4762800,2,44100
sqam/03,sqam,artificial,flac -8 -j4,4,0.01375975,228598,220258,4762800,2,44100
sqam/03,sqam,artificial,flac -8 -j8,8,0.010621625,228598,220258,4762800,2,44100
sqam/03,sqam,artificial,flac -5 -j1,1,0.024514792,228618,220278,4762800,2,44100
sqam/04,sqam,artificial,vinyl -j1,1,0.050714125,295672,295630,4762800,2,44100
sqam/04,sqam,artificial,vinyl -j2,2,0.027962375,295672,295630,4762800,2,44100
sqam/04,sqam,artificial,vinyl -j4,4,0.0164375,295672,295630,4762800,2,44100
sqam/04,sqam,artificial,vinyl -j8,8,0.011133125,295672,295630,4762800,2,44100
sqam/04,sqam,artificial,vinyl decode -j1,1,0.031446666,295672,295630,4762800,2,44100
sqam/04,sqam,artificial,vinyl decode -j2,2,0.018212916,295672,295630,4762800,2,44100
sqam/04,sqam,artificial,vinyl decode -j4,4,0.011937209,295672,295630,4762800,2,44100
sqam/04,sqam,artificial,vinyl decode -j8,8,0.009043166,295672,295630,4762800,2,44100
sqam/04,sqam,artificial,flac decode -j1,1,0.015434417,295672,295630,4762800,2,44100
sqam/04,sqam,artificial,flac -8 -j1,1,0.039187792,287094,278754,4762800,2,44100
sqam/04,sqam,artificial,flac -8 -j2,2,0.023019125,287094,278754,4762800,2,44100
sqam/04,sqam,artificial,flac -8 -j4,4,0.014173667,287094,278754,4762800,2,44100
sqam/04,sqam,artificial,flac -8 -j8,8,0.011333292,287094,278754,4762800,2,44100
sqam/04,sqam,artificial,flac -5 -j1,1,0.025017833,289191,280851,4762800,2,44100
sqam/05,sqam,artificial,vinyl -j1,1,0.055465166,373747,373705,4939200,2,44100
sqam/05,sqam,artificial,vinyl -j2,2,0.029964958,373747,373705,4939200,2,44100
sqam/05,sqam,artificial,vinyl -j4,4,0.017418375,373747,373705,4939200,2,44100
sqam/05,sqam,artificial,vinyl -j8,8,0.011727542,373747,373705,4939200,2,44100
sqam/05,sqam,artificial,vinyl decode -j1,1,0.034661292,373747,373705,4939200,2,44100
sqam/05,sqam,artificial,vinyl decode -j2,2,0.020033542,373747,373705,4939200,2,44100
sqam/05,sqam,artificial,vinyl decode -j4,4,0.012757167,373747,373705,4939200,2,44100
sqam/05,sqam,artificial,vinyl decode -j8,8,0.009588292,373747,373705,4939200,2,44100
sqam/05,sqam,artificial,flac decode -j1,1,0.01571425,373747,373705,4939200,2,44100
sqam/05,sqam,artificial,flac -8 -j1,1,0.040024833,328632,320292,4939200,2,44100
sqam/05,sqam,artificial,flac -8 -j2,2,0.023385333,328632,320292,4939200,2,44100
sqam/05,sqam,artificial,flac -8 -j4,4,0.0143175,328632,320292,4939200,2,44100
sqam/05,sqam,artificial,flac -8 -j8,8,0.011230292,328632,320292,4939200,2,44100
sqam/05,sqam,artificial,flac -5 -j1,1,0.025804791,392476,384136,4939200,2,44100
sqam/06,sqam,artificial,vinyl -j1,1,0.039449209,175995,175953,4057200,2,44100
sqam/06,sqam,artificial,vinyl -j2,2,0.021715125,175995,175953,4057200,2,44100
sqam/06,sqam,artificial,vinyl -j4,4,0.013243375,175995,175953,4057200,2,44100
sqam/06,sqam,artificial,vinyl -j8,8,0.009919542,175995,175953,4057200,2,44100
sqam/06,sqam,artificial,vinyl decode -j1,1,0.024063333,175995,175953,4057200,2,44100
sqam/06,sqam,artificial,vinyl decode -j2,2,0.014437334,175995,175953,4057200,2,44100
sqam/06,sqam,artificial,vinyl decode -j4,4,0.009926875,175995,175953,4057200,2,44100
sqam/06,sqam,artificial,vinyl decode -j8,8,0.007960792,175995,175953,4057200,2,44100
sqam/06,sqam,artificial,flac decode -j1,1,0.013080333,175995,175953,4057200,2,44100
sqam/06,sqam,artificial,flac -8 -j1,1,0.029374041,176833,168493,4057200,2,44100
sqam/06,sqam,artificial,flac -8 -j2,2,0.017805875,176833,168493,4057200,2,44100
sqam/06,sqam,artificial,flac -8 -j4,4,0.011519792,176833,168493,4057200,2,44100
sqam/06,sqam,artificial,flac -8 -j8,8,0.010040833,176833,168493,4057200,2,44100
sqam/06,sqam,artificial,flac -5 -j1,1,0.020525709,178887,170547,4057200,2,44100
sqam/07,sqam,artificial,vinyl -j1,1,0.105385875,967714,967672,6174000,2,44100
sqam/07,sqam,artificial,vinyl -j2,2,0.05577575,967714,967672,6174000,2,44100
sqam/07,sqam,artificial,vinyl -j4,4,0.030750042,967714,967672,6174000,2,44100
sqam/07,sqam,artificial,vinyl -j8,8,0.019067459,967714,967672,6174000,2,44100
sqam/07,sqam,artificial,vinyl decode -j1,1,0.073917625,967714,967672,6174000,2,44100
sqam/07,sqam,artificial,vinyl decode -j2,2,0.040225334,967714,967672,6174000,2,44100
sqam/07,sqam,artificial,vinyl decode -j4,4,0.023574375,967714,967672,6174000,2,44100
sqam/07,sqam,artificial,vinyl decode -j8,8,0.016117084,967714,967672,6174000,2,44100
sqam/07,sqam,artificial,flac decode -j1,1,0.022538834,967714,967672,6174000,2,44100
sqam/07,sqam,artificial,flac -8 -j1,1,0.0662475,849499,841141,6174000,2,44100
sqam/07,sqam,artificial,flac -8 -j2,2,0.037278,849499,841141,6174000,2,44100
sqam/07,sqam,artificial,flac -8 -j4,4,0.021352083,849499,841141,6174000,2,44100
sqam/07,sqam,artificial,flac -8 -j8,8,0.014215875,849499,841141,6174000,2,44100
sqam/07,sqam,artificial,flac -5 -j1,1,0.036504333,888246,879888,6174000,2,44100
sqam/08,sqam,single-instrument,vinyl -j1,1,0.267605209,5730681,5730639,12524400,2,44100
sqam/08,sqam,single-instrument,vinyl -j2,2,0.138504333,5730681,5730639,12524400,2,44100
sqam/08,sqam,single-instrument,vinyl -j4,4,0.073535334,5730681,5730639,12524400,2,44100
sqam/08,sqam,single-instrument,vinyl -j8,8,0.042367167,5730681,5730639,12524400,2,44100
sqam/08,sqam,single-instrument,vinyl decode -j1,1,0.190538333,5730681,5730639,12524400,2,44100
sqam/08,sqam,single-instrument,vinyl decode -j2,2,0.100313417,5730681,5730639,12524400,2,44100
sqam/08,sqam,single-instrument,vinyl decode -j4,4,0.054846375,5730681,5730639,12524400,2,44100
sqam/08,sqam,single-instrument,vinyl decode -j8,8,0.034253875,5730681,5730639,12524400,2,44100
sqam/08,sqam,single-instrument,flac decode -j1,1,0.047968,5730681,5730639,12524400,2,44100
sqam/08,sqam,single-instrument,flac -8 -j1,1,0.15571,5431204,5422774,12524400,2,44100
sqam/08,sqam,single-instrument,flac -8 -j2,2,0.083716292,5431204,5422774,12524400,2,44100
sqam/08,sqam,single-instrument,flac -8 -j4,4,0.044670709,5431204,5422774,12524400,2,44100
sqam/08,sqam,single-instrument,flac -8 -j8,8,0.028244125,5431204,5422774,12524400,2,44100
sqam/08,sqam,single-instrument,flac -5 -j1,1,0.076115917,5480897,5472467,12524400,2,44100
sqam/09,sqam,single-instrument,vinyl -j1,1,0.20339825,4314436,4314394,9878400,2,44100
sqam/09,sqam,single-instrument,vinyl -j2,2,0.105504084,4314436,4314394,9878400,2,44100
sqam/09,sqam,single-instrument,vinyl -j4,4,0.056162166,4314436,4314394,9878400,2,44100
sqam/09,sqam,single-instrument,vinyl -j8,8,0.032921917,4314436,4314394,9878400,2,44100
sqam/09,sqam,single-instrument,vinyl decode -j1,1,0.144727708,4314436,4314394,9878400,2,44100
sqam/09,sqam,single-instrument,vinyl decode -j2,2,0.076351708,4314436,4314394,9878400,2,44100
sqam/09,sqam,single-instrument,vinyl decode -j4,4,0.041895417,4314436,4314394,9878400,2,44100
sqam/09,sqam,single-instrument,vinyl decode -j8,8,0.026994791,4314436,4314394,9878400,2,44100
sqam/09,sqam,single-instrument,flac decode -j1,1,0.037703334,4314436,4314394,9878400,2,44100
sqam/09,sqam,single-instrument,flac -8 -j1,1,0.119911667,4091121,4082727,9878400,2,44100
sqam/09,sqam,single-instrument,flac -8 -j2,2,0.064337958,4091121,4082727,9878400,2,44100
sqam/09,sqam,single-instrument,flac -8 -j4,4,0.0357605,4091121,4082727,9878400,2,44100
sqam/09,sqam,single-instrument,flac -8 -j8,8,0.023031916,4091121,4082727,9878400,2,44100
sqam/09,sqam,single-instrument,flac -5 -j1,1,0.060374166,4113362,4104968,9878400,2,44100
sqam/10,sqam,single-instrument,vinyl -j1,1,0.269948791,4967492,4967450,13053600,2,44100
sqam/10,sqam,single-instrument,vinyl -j2,2,0.139193208,4967492,4967450,13053600,2,44100
sqam/10,sqam,single-instrument,vinyl -j4,4,0.074302875,4967492,4967450,13053600,2,44100
sqam/10,sqam,single-instrument,vinyl -j8,8,0.042101917,4967492,4967450,13053600,2,44100
sqam/10,sqam,single-instrument,vinyl decode -j1,1,0.192532667,4967492,4967450,13053600,2,44100
sqam/10,sqam,single-instrument,vinyl decode -j2,2,0.101074167,4967492,4967450,13053600,2,44100
sqam/10,sqam,single-instrument,vinyl decode -j4,4,0.054643916,4967492,4967450,13053600,2,44100
sqam/10,sqam,single-instrument,vinyl decode -j8,8,0.03392325,4967492,4967450,13053600,2,44100
sqam/10,sqam,single-instrument,flac decode -j1,1,0.052218791,4967492,4967450,13053600,2,44100
sqam/10,sqam,single-instrument,flac -8 -j1,1,0.166552625,4624528,4616098,13053600,2,44100
sqam/10,sqam,single-instrument,flac -8 -j2,2,0.087122084,4624528,4616098,13053600,2,44100
sqam/10,sqam,single-instrument,flac -8 -j4,4,0.046699875,4624528,4616098,13053600,2,44100
sqam/10,sqam,single-instrument,flac -8 -j8,8,0.028671125,4624528,4616098,13053600,2,44100
sqam/10,sqam,single-instrument,flac -5 -j1,1,0.0805895,4659133,4650703,13053600,2,44100
sqam/11,sqam,single-instrument,vinyl -j1,1,0.23439675,3926264,3926222,11642400,2,44100
sqam/11,sqam,single-instrument,vinyl -j2,2,0.121265542,3926264,3926222,11642400,2,44100
sqam/11,sqam,single-instrument,vinyl -j4,4,0.064187917,3926264,3926222,11642400,2,44100
sqam/11,sqam,single-instrument,vinyl -j8,8,0.037074417,3926264,3926222,11642400,2,44100
sqam/11,sqam,single-instrument,vinyl decode -j1,1,0.165959,3926264,3926222,11642400,2,44100
sqam/11,sqam,single-instrument,vinyl decode -j2,2,0.087412917,3926264,3926222,11642400,2,44100
sqam/11,sqam,single-instrument,vinyl decode -j4,4,0.047897834,3926264,3926222,11642400,2,44100
sqam/11,sqam,single-instrument,vinyl decode -j8,8,0.030206708,3926264,3926222,11642400,2,44100
sqam/11,sqam,single-instrument,flac decode -j1,1,0.045223333,3926264,3926222,11642400,2,44100
sqam/11,sqam,single-instrument,flac -8 -j1,1,0.145328541,3632219,3623807,11642400,2,44100
sqam/11,sqam,single-instrument,flac -8 -j2,2,0.076869875,3632219,3623807,11642400,2,44100
sqam/11,sqam,single-instrument,flac -8 -j4,4,0.041858,3632219,3623807,11642400,2,44100
sqam/11,sqam,single-instrument,flac -8 -j8,8,0.02576575,3632219,3623807,11642400,2,44100
sqam/11,sqam,single-instrument,flac -5 -j1,1,0.071057458,3651519,3643107,11642400,2,44100
sqam/12,sqam,single-instrument,vinyl -j1,1,0.099110958,1770759,1770717,4762800,2,44100
sqam/12,sqam,single-instrument,vinyl -j2,2,0.052229375,1770759,1770717,4762800,2,44100
sqam/12,sqam,single-instrument,vinyl -j4,4,0.029013959,1770759,1770717,4762800,2,44100
sqam/12,sqam,single-instrument,vinyl -j8,8,0.018335916,1770759,1770717,4762800,2,44100
sqam/12,sqam,single-instrument,vinyl decode -j1,1,0.069270583,1770759,1770717,4762800,2,44100
sqam/12,sqam,single-instrument,vinyl decode -j2,2,0.037264458,1770759,1770717,4762800,2,44100
sqam/12,sqam,single-instrument,vinyl decode -j4,4,0.022047,1770759,1770717,4762800,2,44100
sqam/12,sqam,single-instrument,vinyl decode -j8,8,0.015333375,1770759,1770717,4762800,2,44100
sqam/12,sqam,single-instrument,flac decode -j1,1,0.020163042,1770759,1770717,4762800,2,44100
sqam/12,sqam,single-instrument,flac -8 -j1,1,0.061071375,1621705,1613365,4762800,2,44100
sqam/12,sqam,single-instrument,flac -8 -j2,2,0.033601625,1621705,1613365,4762800,2,44100
sqam/12,sqam,single-instrument,flac -8 -j4,4,0.01927525,1621705,1613365,4762800,2,44100
sqam/12,sqam,single-instrument,flac -8 -j8,8,0.013447625,1621705,1613365,4762800,2,44100
sqam/12,sqam,single-instrument,flac -5 -j1,1,0.031175083,1650037,1641697,4762800,2,44100
sqam/13,sqam,single-instrument,vinyl -j1,1,0.159674875,2819891,2819849,8114400,2,44100
sqam/13,sqam,single-instrument,vinyl -j2,2,0.083488,2819891,2819849,8114400,2,44100
sqam/13,sqam,single-instrument,vinyl -j4,4,0.044824542,2819891,2819849,8114400,2,44100
sqam/13,sqam,single-instrument,vinyl -j8,8,0.026825417,2819891,2819849,8114400,2,44100
sqam/13,sqam,single-instrument,vinyl decode -j1,1,0.112349542,2819891,2819849,8114400,2,44100
sqam/13,sqam,single-instrument,vinyl decode -j2,2,0.0596885,2819891,2819849,8114400,2,44100
sqam/13,sqam,single-instrument,vinyl decode -j4,4,0.033640458,2819891,2819849,8114400,2,44100
sqam/13,sqam,single-instrument,vinyl decode -j8,8,0.021752417,2819891,2819849,8114400,2,44100
sqam/13,sqam,single-instrument,flac decode -j1,1,0.031280459,2819891,2819849,8114400,2,44100
sqam/13,sqam,single-instrument,flac -8 -j1,1,0.096922708,2601401,2593025,8114400,2,44100
sqam/13,sqam,single-instrument,flac -8 -j2,2,0.051974416,2601401,2593025,8114400,2,44100
sqam/13,sqam,single-instrument,flac -8 -j4,4,0.029490542,2601401,2593025,8114400,2,44100
sqam/13,sqam,single-instrument,flac -8 -j8,8,0.019512417,2601401,2593025,8114400,2,44100
sqam/13,sqam,single-instrument,flac -5 -j1,1,0.0495985,2632603,2624227,8114400,2,44100
sqam/14,sqam,single-instrument,vinyl -j1,1,0.176676958,3451512,3451470,8643600,2,44100
sqam/14,sqam,single-instrument,vinyl -j2,2,0.091842167,3451512,3451470,8643600,2,44100
sqam/14,sqam,single-instrument,vinyl -j4,4,0.049318209,3451512,3451470,8643600,2,44100
sqam/14,sqam,single-instrument,vinyl -j8,8,0.029168209,3451512,3451470,8643600,2,44100
sqam/14,sqam,single-instrument,vinyl decode -j1,1,0.125369375,3451512,3451470,8643600,2,44100
sqam/14,sqam,single-instrument,vinyl decode -j2,2,0.0665205,3451512,3451470,8643600,2,44100
sqam/14,sqam,single-instrument,vinyl decode -j4,4,0.0367765,3451512,3451470,8643600,2,44100
sqam/14,sqam,single-instrument,vinyl decode -j8,8,0.023871208,3451512,3451470,8643600,2,44100
sqam/14,sqam,single-instrument,flac decode -j1,1,0.033722,3451512,3451470,8643600,2,44100
sqam/14,sqam,single-instrument,flac -8 -j1,1,0.104127458,3227663,3219287,8643600,2,44100
sqam/14,sqam,single-instrument,flac -8 -j2,2,0.056468334,3227663,3219287,8643600,2,44100
sqam/14,sqam,single-instrument,flac -8 -j4,4,0.030882459,3227663,3219287,8643600,2,44100
sqam/14,sqam,single-instrument,flac -8 -j8,8,0.020677042,3227663,3219287,8643600,2,44100
sqam/14,sqam,single-instrument,flac -5 -j1,1,0.053585208,3261498,3253122,8643600,2,44100
sqam/15,sqam,single-instrument,vinyl -j1,1,0.087955334,1641880,1641838,4233600,2,44100
sqam/15,sqam,single-instrument,vinyl -j2,2,0.046383958,1641880,1641838,4233600,2,44100
sqam/15,sqam,single-instrument,vinyl -j4,4,0.026009209,1641880,1641838,4233600,2,44100
sqam/15,sqam,single-instrument,vinyl -j8,8,0.016500208,1641880,1641838,4233600,2,44100
sqam/15,sqam,single-instrument,vinyl decode -j1,1,0.062646042,1641880,1641838,4233600,2,44100
sqam/15,sqam,single-instrument,vinyl decode -j2,2,0.033945958,1641880,1641838,4233600,2,44100
sqam/15,sqam,single-instrument,vinyl decode -j4,4,0.020492542,1641880,1641838,4233600,2,44100
sqam/15,sqam,single-instrument,vinyl decode -j8,8,0.014347583,1641880,1641838,4233600,2,44100
sqam/15,sqam,single-instrument,flac decode -j1,1,0.018375666,1641880,1641838,4233600,2,44100
sqam/15,sqam,single-instrument,flac -8 -j1,1,0.054177333,1555056,1546716,4233600,2,44100
sqam/15,sqam,single-instrument,flac -8 -j2,2,0.029390875,1555056,1546716,4233600,2,44100
sqam/15,sqam,single-instrument,flac -8 -j4,4,0.016769666,1555056,1546716,4233600,2,44100
sqam/15,sqam,single-instrument,flac -8 -j8,8,0.012227542,1555056,1546716,4233600,2,44100
sqam/15,sqam,single-instrument,flac -5 -j1,1,0.02831475,1569311,1560971,4233600,2,44100
sqam/16,sqam,single-instrument,vinyl -j1,1,0.130871667,2407848,2407806,6879600,2,44100
sqam/16,sqam,single-instrument,vinyl -j2,2,0.068770333,2407848,2407806,6879600,2,44100
sqam/16,sqam,single-instrument,vinyl -j4,4,0.037423042,2407848,2407806,6879600,2,44100
sqam/16,sqam,single-instrument,vinyl -j8,8,0.022359583,2407848,2407806,6879600,2,44100
sqam/16,sqam,single-instrument,vinyl decode -j1,1,0.090893,2407848,2407806,6879600,2,44100
sqam/16,sqam,single-instrument,vinyl decode -j2,2,0.049069625,2407848,2407806,6879600,2,44100
sqam/16,sqam,single-instrument,vinyl decode -j4,4,0.02774925,2407848,2407806,6879600,2,44100
sqam/16,sqam,single-instrument,vinyl decode -j8,8,0.018816334,2407848,2407806,6879600,2,44100
sqam/16,sqam,single-instrument,flac decode -j1,1,0.026512625,2407848,2407806,6879600,2,44100
sqam/16,sqam,single-instrument,flac -8 -j1,1,0.080791542,2244538,2236180,6879600,2,44100
sqam/16,sqam,single-instrument,flac -8 -j2,2,0.043978625,2244538,2236180,6879600,2,44100
sqam/16,sqam,single-instrument,flac -8 -j4,4,0.0248645,2244538,2236180,6879600,2,44100
sqam/16,sqam,single-instrument,flac -8 -j8,8,0.016788958,2244538,2236180,6879600,2,44100
sqam/16,sqam,single-instrument,flac -5 -j1,1,0.042323292,2269543,2261185,6879600,2,44100
sqam/17,sqam,single-instrument,vinyl -j1,1,0.086855167,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,vinyl -j2,2,0.046161333,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,vinyl -j4,4,0.0256675,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,vinyl -j8,8,0.016304375,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,vinyl decode -j1,1,0.06036875,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,vinyl decode -j2,2,0.033441417,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,vinyl decode -j4,4,0.019898667,1657852,1657810,4057200,2,44100
