file,encoder,threads,seconds,bytes,audio_bytes,raw_bytes
degen-altmax,vinyl -j1,1,0.020135959,65723,65681,1000000
degen-altmax,vinyl -j2,2,0.012013458,65723,65681,1000000
degen-altmax,vinyl -j4,4,0.007977083,65723,65681,1000000
degen-altmax,vinyl -j8,8,0.006203,65723,65681,1000000
degen-altmax,vinyl decode -j1,1,0.011046834,65723,65681,1000000
degen-altmax,vinyl decode -j2,2,0.007376916,65723,65681,1000000
degen-altmax,vinyl decode -j4,4,0.005794917,65723,65681,1000000
degen-altmax,vinyl decode -j8,8,0.005117375,65723,65681,1000000
degen-altmax,flac decode -j1,1,0.007939,65723,65681,1000000
degen-altmax,flac -0 -j1,1,0.007327333,1012545,1004223,1000000
degen-altmax,flac -5 -j1,1,0.007186458,73807,65485,1000000
degen-altmax,flac -8 -j1,1,0.010074416,73559,65237,1000000
degen-altmax,flac -8 -j2,2,0.007237458,73559,65237,1000000
degen-altmax,flac -8 -j4,4,0.0055045,73559,65237,1000000
degen-altmax,flac -8 -j8,8,0.005173083,73559,65237,1000000
degen-dc,vinyl -j1,1,0.00988975,1641,1599,1000000
degen-dc,vinyl -j2,2,0.0069335,1641,1599,1000000
degen-dc,vinyl -j4,4,0.005362541,1641,1599,1000000
degen-dc,vinyl -j8,8,0.005280334,1641,1599,1000000
degen-dc,vinyl decode -j1,1,0.005500667,1641,1599,1000000
degen-dc,vinyl decode -j2,2,0.005624709,1641,1599,1000000
degen-dc,vinyl decode -j4,4,0.00565225,1641,1599,1000000
degen-dc,vinyl decode -j8,8,0.005852958,1641,1599,1000000
degen-dc,flac decode -j1,1,0.005403375,1641,1599,1000000
degen-dc,flac -0 -j1,1,0.005935333,13415,5093,1000000
degen-dc,flac -5 -j1,1,0.005949375,9677,1355,1000000
degen-dc,flac -8 -j1,1,0.006048791,9677,1355,1000000
degen-dc,flac -8 -j2,2,0.004955958,9677,1355,1000000
degen-dc,flac -8 -j4,4,0.005135916,9677,1355,1000000
